match_id,round,group_sign,home_team_name,away_team_name,home_score,away_score,attendance,start_datetime,home_ballPossession,home_expectedGoals,home_totalShotsOnGoal,home_shotsOnGoal,home_bigChanceCreated,home_bigChanceScored,home_cornerKicks,home_fouls,home_yellowCards,home_redCards,home_passes,home_accuratePasses,home_totalTackle,home_interceptionWon,home_ballRecovery,home_totalClearance,home_goalkeeperSaves,home_goalsPrevented,home_duelWonPercent,home_dribblesPercentage,home_touchesInOppBox,home_accurateCross,home_accurateLongBalls,home_wonTacklePercent,away_ballPossession,away_expectedGoals,away_totalShotsOnGoal,away_shotsOnGoal,away_bigChanceCreated,away_bigChanceScored,away_cornerKicks,away_fouls,away_yellowCards,away_redCards,away_passes,away_accuratePasses,away_totalTackle,away_interceptionWon,away_ballRecovery,away_totalClearance,away_goalkeeperSaves,away_goalsPrevented,away_duelWonPercent,away_dribblesPercentage,away_touchesInOppBox,away_accurateCross,away_accurateLongBalls,away_wonTacklePercent,diff_ballPossession,diff_expectedGoals,diff_totalShotsOnGoal,diff_shotsOnGoal,diff_bigChanceCreated,diff_bigChanceScored,diff_cornerKicks,diff_fouls,diff_yellowCards,diff_redCards,diff_passes,diff_accuratePasses,diff_totalTackle,diff_interceptionWon,diff_ballRecovery,diff_totalClearance,diff_goalkeeperSaves,diff_goalsPrevented,diff_duelWonPercent,diff_dribblesPercentage,diff_touchesInOppBox,diff_accurateCross,diff_accurateLongBalls,diff_wonTacklePercent,home_win,draw,away_win,result_1x2,over_2_5,btts,total_goals,goal_difference
15186783,1,H,Spain,Cabo Verde,0,0,67640,2026-06-15T16:00:00,74,2.1,27,7,2.0,,11,10,1.0,,800,734,13,6,55,7,1,0.1334,50,7,51,6,24,12,26,0.2,6,1,1.0,,1,1,1.0,,278,205,18,15,49,46,7,1.4527,50,4,6,1,19,11,48,1.9000000000000001,21,6,1.0,,10,9,0.0,,522,529,-5,-9,6,-39,-6,-1.3193000000000001,0,3,45,5,5,1,0,1,0,D,False,False,0,0
15186837,1,G,Belgium,Egypt,1,1,66775,2026-06-15T19:00:00,54,1.35,15,3,2.0,,2,15,2.0,,455,391,17,10,48,25,2,-0.3919,50,12,31,6,18,11,46,1.08,14,3,2.0,,7,15,2.0,,398,323,28,16,46,17,3,-0.36,50,8,27,2,20,17,8,0.27,1,0,0.0,,-5,0,0.0,,57,68,-11,-6,2,8,-1,-0.03190000000000004,0,4,4,4,-2,-6,0,1,0,D,False,True,2,0
15186811,1,H,Saudi Arabia,Uruguay,1,1,62464,2026-06-15T22:00:00,33,0.66,7,3,1.0,1.0,4,11,1.0,,322,236,11,9,39,43,9,0.6821,49,3,10,3,10,8,67,1.72,27,10,2.0,1.0,14,6,0.0,,612,540,3,10,52,17,2,-0.3524,51,8,41,16,24,2,-34,-1.06,-20,-7,-1.0,0.0,-10,5,1.0,,-290,-304,8,-1,-13,26,7,1.0345,-2,-5,-31,-13,-14,6,0,1,0,D,False,True,2,0
15186832,1,G,Iran,New Zealand,2,2,70108,2026-06-16T01:00:00,49,1.5,17,4,2.0,2.0,4,10,1.0,,409,314,17,11,51,27,6,-0.9954,56,4,25,6,27,10,51,1.24,14,8,2.0,2.0,1,8,0.0,,446,376,13,15,47,26,2,-0.282,44,6,21,1,21,10,-2,0.26,3,-4,0.0,0.0,3,2,1.0,,-37,-62,4,-4,4,1,4,-0.7134,12,-2,4,5,6,0,0,1,0,D,True,True,4,0
15186501,1,I,France,Senegal,3,1,80545,2026-06-16T19:00:00,53,1.79,11,8,4.0,2.0,6,5,,,575,505,19,7,56,14,2,-0.8322,56,5,19,0,20,14,47,0.53,6,2,2.0,0.0,4,9,,,502,430,14,8,56,17,5,-0.9403,44,8,13,1,25,10,6,1.26,5,6,2.0,2.0,2,-4,,,73,75,5,-1,0,-3,-3,0.10809999999999997,12,-3,6,-1,-5,4,1,0,0,H,True,True,4,2
15186773,1,I,Iraq,Norway,1,4,63106,2026-06-16T22:00:00,39,0.8,11,1,1.0,0.0,2,12,1.0,,334,271,19,5,35,20,2,-1.3454,52,10,18,6,22,13,61,2.52,12,5,5.0,3.0,5,13,0.0,,537,477,15,2,36,22,0,-0.4013,48,5,25,7,18,10,-22,-1.72,-1,-4,-4.0,-3.0,-3,-1,1.0,,-203,-206,4,3,-1,-2,2,-0.9440999999999999,4,5,-7,-1,4,3,0,0,1,A,True,True,5,-3
15186854,1,J,Argentina,Algeria,3,0,69045,2026-06-17T01:00:00,48,1.47,10,6,1.0,1.0,2,13,,,561,504,27,10,50,17,0,0.0,48,2,12,1,17,19,52,0.3,7,0,0.0,0.0,2,8,,,609,563,17,8,39,12,3,-0.7816,52,8,14,1,15,10,-4,1.17,3,6,1.0,1.0,0,5,,,-48,-59,10,2,11,5,-3,0.7816,-4,-6,-2,0,2,9,1,0,0,H,True,False,3,3
15186751,1,J,Austria,Jordan,3,1,68527,2026-06-17T04:00:00,63,1.69,11,4,4.0,1.0,4,12,1.0,,580,487,17,15,52,24,3,0.1772,47,4,28,3,18,9,37,0.46,11,4,0.0,0.0,3,7,0.0,,332,241,15,12,39,39,1,-1.7125,53,15,21,3,23,6,26,1.23,0,0,4.0,1.0,1,5,1.0,,248,246,2,3,13,-15,2,1.8897,-6,-11,7,0,-5,3,1,0,0,H,True,True,4,2
15186709,1,K,Portugal,DR Congo,1,1,68777,2026-06-17T17:00:00,75,0.65,7,1,1.0,0.0,5,9,3.0,,783,724,12,3,41,10,1,-0.0312,45,5,29,6,41,6,25,0.87,8,2,1.0,1.0,4,10,1.0,,249,195,17,5,38,27,0,-0.4737,55,8,10,1,11,9,50,-0.21999999999999997,-1,-1,0.0,-1.0,1,-1,2.0,,534,529,-5,-2,3,-17,1,0.4425,-10,-3,19,5,30,-3,0,1,0,D,False,True,2,0
15186504,1,L,England,Croatia,4,2,70389,2026-06-17T20:00:00,52,3.2,22,11,7.0,2.0,8,10,,,474,406,9,7,47,16,3,-1.4896,49,7,37,6,15,7,48,0.7,10,5,2.0,1.0,2,12,,,443,381,11,9,40,17,7,-0.6732,51,5,16,2,18,8,4,2.5,12,6,5.0,1.0,6,-2,,,31,25,-2,-2,7,-1,-4,-0.8164,-2,2,21,4,-3,-1,1,0,0,H,True,True,6,2
15186687,1,L,Ghana,Panama,1,0,42942,2026-06-17T23:00:00,38,1.25,7,2,1.0,1.0,2,9,1.0,,352,292,16,8,50,28,4,1.3579,50,9,14,4,30,9,62,0.73,11,4,2.0,0.0,2,11,2.0,,583,503,29,5,48,17,2,0.0407,50,6,19,4,34,11,-24,0.52,-4,-2,-1.0,1.0,0,-2,-1.0,,-231,-211,-13,3,2,11,2,1.3172000000000001,0,3,-5,0,-4,-2,1,0,0,H,False,False,1,1
15186722,1,K,Uzbekistan,Colombia,1,3,80824,2026-06-18T02:00:00,39,1.16,8,2,1.0,1.0,3,14,1.0,,319,243,10,7,39,24,1,-1.6389,49,5,5,3,17,7,61,1.61,15,4,4.0,3.0,4,11,1.0,,519,444,10,6,43,20,1,0.1924,51,5,27,6,17,3,-22,-0.4500000000000002,-7,-2,-3.0,-2.0,-1,3,0.0,,-200,-201,0,1,-4,4,0,-1.8313,-2,0,-22,-3,0,4,0,0,1,A,True,True,4,-2
