player_id,player_name,player_short_name,position,shirt_number,matches_played,total_minutes,substitute_appearances,starts,minutes_per_match,goals_per_90,expectedGoals_per_90,expectedAssists_per_90,totalShots_per_90,onTargetScoringAttempt_per_90,keyPass_per_90,bigChanceCreated_per_90,totalTackle_per_90,interceptionWon_per_90,ballRecovery_per_90,totalClearance_per_90,fouls_per_90,wasFouled_per_90,duelWon_per_90,aerialWon_per_90,saves_per_90,goalsPrevented_per_90,keeperSaveValue_per_90,weighted_rating
846081,Houssem Aouar,H. Aouar,M,8,4,173.0,2,2,43.25,0.0,0.22302312138728328,0.2527588612716763,1.5606936416184969,0.5202312138728323,2.601156069364162,1.5606936416184969,1.0404624277456647,0.0,2.0809248554913293,0.0,0.5202312138728323,1.0404624277456647,4.161849710982659,1.0404624277456647,0.0,0.0,0.0,6.97456647398844
846122,Lukáš Provod,L. Provod,M,17,3,121.0,2,1,40.333333333333336,0.0,0.02067768595041322,0.08499858842975207,0.743801652892562,0.0,0.743801652892562,0.0,2.231404958677686,0.743801652892562,2.975206611570248,2.231404958677686,1.487603305785124,0.743801652892562,4.462809917355372,0.743801652892562,0.0,0.0,0.0,6.7214876033057855
846147,Abdul Mumin,A. Mumin,D,6,4,0.0,4,0,0.0,,,,,,,,,,,,,,,,,,,
846204,Lyndon Dykes,L. Dykes,F,9,3,34.0,3,0,11.333333333333334,0.0,0.3793235294117647,0.0031356529411764706,2.6470588235294117,0.0,0.0,0.0,2.6470588235294117,0.0,2.6470588235294117,5.294117647058823,5.294117647058823,0.0,10.588235294117647,7.9411764705882355,0.0,0.0,0.0,6.444117647058825
846308,Santiago Bueno,S. Bueno,D,24,3,0.0,3,0,0.0,,,,,,,,,,,,,,,,,,,
846413,Agustín Canobbio,A. Canobbio,M,14,3,225.0,1,2,75.0,0.4,0.28448,0.06803421999999999,1.6,0.4,0.8,0.0,2.4000000000000004,0.8,4.4,0.4,2.8,2.0,5.2,0.4,0.0,0.0,0.0,6.9
846421,Santiago Mele,S. Mele,G,12,3,0.0,3,0,0.0,,,,,,,,,,,,,,,,,,,
846425,Manuel Ugarte,M. Ugarte,M,5,3,186.0,0,3,62.0,0.0,0.02569354838709677,0.07855559516129032,1.4516129032258065,0.4838709677419355,1.4516129032258065,0.0,1.4516129032258065,1.4516129032258065,4.838709677419355,1.935483870967742,0.4838709677419355,0.0,2.4193548387096775,0.4838709677419355,0.0,0.0,0.0,6.4698924731182785
847030,Noussair Mazraoui,N. Mazraoui,D,3,5,396.0,1,4,79.2,0.0,0.0,0.018670740909090912,0.0,0.0,0.0,0.0,2.954545454545455,0.2272727272727273,3.8636363636363633,6.818181818181818,0.6818181818181819,1.3636363636363638,7.272727272727273,2.0454545454545454,0.0,0.0,0.0,7.446464646464647
847151,Edson Álvarez,E. Álvarez,M,4,5,239.0,3,2,47.8,0.0,0.08141422594142259,0.011582698744769873,0.7531380753138075,0.0,0.37656903765690375,0.0,3.01255230125523,1.1297071129707112,3.7656903765690375,4.142259414225942,1.8828451882845187,0.7531380753138075,5.648535564853557,1.506276150627615,0.0,0.0,0.0,7.056485355648536
847235,Hassan Kadesh,H. Kadesh,D,14,3,0.0,3,0,0.0,,,,,,,,,,,,,,,,,,,
847467,Marin Pongračić,M. Pongračić,D,3,4,270.0,1,3,67.5,0.0,0.02883333333333333,0.006176166666666667,0.33333333333333337,0.0,0.0,0.0,1.6666666666666665,0.33333333333333337,4.333333333333333,6.333333333333334,1.0,0.0,2.3333333333333335,0.6666666666666667,0.0,0.0,0.0,6.566666666666666
847714,Marwane Saadane,M. Saadane,D,5,5,13.0,5,0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.846153846153847,0.0,6.923076923076923,13.846153846153847,6.923076923076923,0.0,0.0,0.0,6.9
847938,Aiden O'Neill,A. O'Neill,M,13,4,360.0,0,4,90.0,0.0,0.0214,0.080096825,0.5,0.0,1.25,0.0,1.5,0.5,4.75,2.0,0.5,2.0,4.75,0.5,0.0,0.0,0.0,6.95
848276,Jean-Philippe Mateta,J. Mateta,F,22,5,18.0,5,0,3.6,0.0,1.273,8.45e-06,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35
848287,Evan Ndicka,E. Ndicka,D,21,4,0.0,4,0,0.0,,,,,,,,,,,,,,,,,,,
850404,Orbelín Pineda,O. Pineda,M,17,5,29.0,5,0,5.8,0.0,0.20141379310344826,0.0016547896551724138,3.103448275862069,0.0,3.103448275862069,0.0,0.0,0.0,3.103448275862069,3.103448275862069,0.0,6.206896551724138,15.517241379310345,6.206896551724138,0.0,0.0,0.0,6.365517241379311
850891,Michel Aebischer,M. Aebischer,M,20,4,162.0,2,2,40.5,0.0,0.19772222222222222,0.29926888888888886,1.1111111111111112,0.5555555555555556,2.2222222222222223,0.0,2.7777777777777777,0.0,4.444444444444445,2.7777777777777777,1.6666666666666665,1.1111111111111112,5.0,0.0,0.0,0.0,0.0,6.9827160493827165
851284,Rafael Leão,R. Leão,F,17,5,161.0,4,1,32.2,0.5590062111801242,0.16636024844720496,0.1589726962732919,2.2360248447204967,0.5590062111801242,1.6770186335403727,0.0,0.0,1.1180124223602483,3.9130434782608696,0.0,0.5590062111801242,1.1180124223602483,7.267080745341615,0.0,0.0,0.0,0.0,6.730434782608695
851596,Justin Kluivert,J. Kluivert,F,7,4,26.0,4,0,6.5,0.0,0.0,0.00380205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,10.384615384615385,3.4615384615384617,0.0,0.0,0.0,6.476923076923077
851671,João Félix,J. Félix,M,11,5,204.0,2,3,40.8,0.0,0.3442941176470588,0.056938897058823525,2.6470588235294117,0.4411764705882353,0.8823529411764706,0.0,2.6470588235294117,1.7647058823529411,4.411764705882353,0.0,1.3235294117647058,2.6470588235294117,7.5,0.0,0.0,0.0,0.0,6.666666666666667
851676,Frans Putros,F. Putros,D,26,3,90.0,2,1,30.0,0.0,0.0,0.0103875,0.0,0.0,1.0,0.0,3.0,2.0,0.0,4.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,5.7
855810,Timothy Weah,T. Weah,F,21,5,76.0,4,1,15.2,0.0,0.05909210526315789,0.032047519736842105,2.3684210526315788,0.0,0.0,0.0,0.0,0.0,2.3684210526315788,0.0,2.3684210526315788,0.0,1.1842105263157894,0.0,0.0,0.0,0.0,6.042105263157896
855833,Ferran Torres,F. Torres,F,7,5,174.0,4,1,34.8,0.0,0.8167758620689655,0.2612502258620689,5.172413793103448,1.0344827586206897,0.5172413793103449,0.5172413793103449,0.0,0.0,4.137931034482759,0.5172413793103449,2.0689655172413794,0.5172413793103449,3.6206896551724137,1.5517241379310345,0.0,0.0,0.0,6.1528735632183915
856076,David Raum,D. Raum,D,22,4,107.0,3,1,26.75,0.0,0.024392523364485982,0.25517371962616825,0.8411214953271028,0.8411214953271028,1.6822429906542056,0.0,0.8411214953271028,0.8411214953271028,5.887850467289719,1.6822429906542056,1.6822429906542056,0.0,0.8411214953271028,0.0,0.0,0.0,0.0,6.71588785046729
