match_id,season_id,season_name,round,group_name,group_sign,status_code,status_description,winner_code,home_team_id,home_team_name,home_team_code,home_score,home_score_p1,home_score_p2,away_team_id,away_team_name,away_team_code,away_score,away_score_p1,away_score_p2,start_timestamp,start_datetime,injury_time_1,injury_time_2,has_xg,has_player_stats,has_heatmaps,attendance,venue_name,venue_city,venue_country,venue_capacity,referee_name,referee_country,home_manager,away_manager
15186783,58210,World Cup 2026,1,Group H,H,100,Ended,3,4698,Spain,ESP,0,0,0,4753,Cabo Verde,CPV,0,0,0,1781539200,2026-06-15T16:00:00,4,5,True,True,True,67640,Mercedes-Benz Stadium,Atlanta,USA,71000,Adham Mohammad,Jordan,Luis De La Fuente,Bubista
15186837,58210,World Cup 2026,1,Group G,G,100,Ended,3,4717,Belgium,BEL,1,0,1,4758,Egypt,EGY,1,1,0,1781550000,2026-06-15T19:00:00,4,5,True,True,True,66775,Lumen Field,Seattle,USA,68740,Ramon Abatti Abel,Brazil,Rudi Garcia,Hossam Hassan
15186811,58210,World Cup 2026,1,Group H,H,100,Ended,3,4834,Saudi Arabia,KSA,1,1,0,4725,Uruguay,URU,1,0,1,1781560800,2026-06-15T22:00:00,4,7,True,True,True,62464,Hard Rock Stadium,Miami Gardens,USA,65326,Maurizio Mariani,Italy,Georgios Donis,Marcelo Bielsa
15186832,58210,World Cup 2026,1,Group G,G,100,Ended,3,4766,Iran,IRI,2,1,1,4784,New Zealand,NZL,2,1,1,1781571600,2026-06-16T01:00:00,6,5,True,True,True,70108,SoFi Stadium,Inglewood,USA,70242,César Ramos Palazuelos,Mexico,Amir Ghalenoei,Darren Bazeley
15186501,58210,World Cup 2026,1,Group I,I,100,Ended,1,4481,France,FRA,3,0,3,4739,Senegal,SEN,1,0,1,1781636400,2026-06-16T19:00:00,6,8,True,True,True,80545,MetLife Stadium,East Rutherford,USA,82500,Alireza Faghani,Australia,Didier Deschamps,Pape Thiaw
15186773,58210,World Cup 2026,1,Group I,I,100,Ended,2,4767,Iraq,IRA,1,1,0,4475,Norway,NOR,4,2,2,1781647200,2026-06-16T22:00:00,5,6,True,True,True,63106,Gillette Stadium,Foxborough,USA,66829,Pierre Ghislain Atcho,Gabon,Graham Arnold,Ståle Solbakken
15186854,58210,World Cup 2026,1,Group J,J,100,Ended,1,4819,Argentina,ARG,3,1,2,4691,Algeria,DZA,0,0,0,1781658000,2026-06-17T01:00:00,4,6,True,True,True,69045,Arrowhead Stadium,Kansas City,USA,76416,Szymon Marciniak,Poland,Lionel Scaloni,Vladimir Petković
15186751,58210,World Cup 2026,1,Group J,J,100,Ended,1,4718,Austria,AUT,3,1,2,4771,Jordan,JOR,1,0,1,1781668800,2026-06-17T04:00:00,4,10,True,True,True,68527,Levi's Stadium,Santa Clara,USA,68500,Dahane Beida,Mauritania,Ralf Rangnick,Jamal Sellami
15186709,58210,World Cup 2026,1,Group K,K,100,Ended,3,4704,Portugal,POR,1,1,0,4823,DR Congo,DCO,1,1,0,1781715600,2026-06-17T17:00:00,4,5,True,True,True,68777,NRG Stadium,Houston,USA,72220,Abdulrahman Al-Jassim,Qatar,Roberto Martínez,Sebastien Desabre
15186504,58210,World Cup 2026,1,Group L,L,100,Ended,1,4713,England,ENG,4,2,2,4715,Croatia,CRO,2,2,0,1781726400,2026-06-17T20:00:00,5,6,True,True,True,70389,AT&T Stadium,Arlington,USA,80000,Clement Turpin,France,Thomas Tuchel,Zlatko Dalić
15186687,58210,World Cup 2026,1,Group L,L,100,Ended,1,4764,Ghana,GHA,1,0,1,5164,Panama,PAN,0,0,0,1781737200,2026-06-17T23:00:00,5,6,True,True,True,42942,BMO Field,Toronto,Canada,45700,Glenn Nyberg,Sweden,Carlos Queiroz,Thomas Christiansen
