match_id,team,is_home,ballPossession,kilometersCovered,expectedGoals,bigChanceCreated,totalShotsOnGoal,goalkeeperSaves,numberOfSprints,cornerKicks,fouls,passes,totalTackle,freeKicks,yellowCards,redCards,shotsOnGoal,hitWoodwork,shotsOffGoal,blockedScoringAttempt,totalShotsInsideBox,totalShotsOutsideBox,bigChanceScored,accurateThroughBall,touchesInOppBox,fouledFinalThird,offsides,accuratePasses,throwIns,finalThirdEntries,finalThirdPhaseStatistic,accurateLongBalls,accurateCross,duelWonPercent,dispossessed,groundDuelsPercentage,aerialDuelsPercentage,dribblesPercentage,wonTacklePercent,interceptionWon,ballRecovery,totalClearance,errorsLeadToShot,errorsLeadToGoal,goalsPrevented,diveSaves,highClaims,punches,goalKicks,bigChanceMissed,penaltySaves
15186773,Iraq,True,39,79.98,0.8,1.0,11,2,84,2,12,334,19,13,1.0,,1,0,8,2,8,3,0.0,1.0,18,0.0,1.0,271,14,43,46,22,6,52,4,42,10,10,13,5,35,20,2.0,2.0,-1.3454,,1.0,,10,1.0,
15186773,Norway,False,61,93.66,2.52,5.0,12,0,94,5,13,537,15,12,0.0,,5,0,4,3,11,1,3.0,0.0,25,4.0,0.0,477,22,46,74,18,7,48,7,31,17,5,10,2,36,22,0.0,0.0,-0.4013,,0.0,,9,2.0,
15186854,Argentina,True,48,87.19,1.47,1.0,10,0,105,2,13,561,27,8,,,6,0,4,0,4,6,1.0,1.0,12,0.0,3.0,504,12,39,56,17,1,48,10,36,3,2,19,10,50,17,,,0.0,0.0,,,6,,
15186854,Algeria,False,52,102.94,0.3,0.0,7,3,113,2,8,609,17,13,,,0,0,4,3,3,4,0.0,0.0,14,2.0,1.0,563,19,61,118,15,1,52,12,38,5,8,10,8,39,12,,,-0.7816,1.0,,,4,,
15186751,Austria,True,63,104.31,1.69,4.0,11,3,114,4,12,580,17,6,1.0,,4,0,6,1,6,5,1.0,,28,1.0,3.0,487,21,62,96,18,3,47,7,27,16,4,9,15,52,24,0.0,,0.1772,1.0,,1.0,3,3.0,
15186751,Jordan,False,37,104.75,0.46,0.0,11,1,98,3,7,332,15,12,0.0,,4,1,5,2,7,4,0.0,,21,2.0,1.0,241,19,41,66,23,3,53,8,39,9,15,6,12,39,39,2.0,,-1.7125,0.0,,1.0,10,0.0,
15186709,Portugal,True,75,99.84,0.65,1.0,7,1,88,5,9,783,12,10,3.0,,1,0,4,2,5,2,0.0,1.0,29,3.0,3.0,724,16,101,176,41,6,45,10,25,9,5,6,3,41,10,,,-0.0312,,2.0,,5,,
15186709,DR Congo,False,25,102.03,0.87,1.0,8,0,121,4,10,249,17,9,1.0,,2,0,3,3,2,6,1.0,0.0,10,0.0,2.0,195,15,35,50,11,1,55,5,34,8,8,9,5,38,27,,,-0.4737,,3.0,,8,,
15186504,England,True,52,102.18,3.2,7.0,22,3,124,8,10,474,9,11,,,11,0,6,5,20,2,2.0,2.0,37,2.0,0.0,406,15,40,49,15,6,49,4,28,12,7,7,7,47,16,0.0,,-1.4896,1.0,2.0,2.0,6,5.0,
15186504,Croatia,False,48,98.93,0.7,2.0,10,7,125,2,12,443,11,10,,,5,0,3,2,4,6,1.0,1.0,16,0.0,1.0,381,18,32,64,18,2,51,4,26,16,5,8,9,40,17,1.0,,-0.6732,3.0,0.0,1.0,7,1.0,
15186687,Ghana,True,38,87.21,1.25,1.0,7,4,85,2,9,352,16,11,1.0,,2,0,4,1,6,1,1.0,0.0,14,3.0,4.0,292,21,62,55,30,4,50,14,35,21,9,9,8,50,28,,,1.3579,1.0,2.0,2.0,10,0.0,
15186687,Panama,False,62,106.17,0.73,2.0,11,2,94,2,11,583,29,9,2.0,,4,0,5,2,6,5,0.0,1.0,19,1.0,1.0,503,23,66,78,34,4,50,8,44,13,6,11,5,48,17,,,0.0407,0.0,0.0,0.0,9,2.0,
